filenw,ident,region,regiog,subre,contr,countryname,birth_y,age_sex,age_union,agechild1,agechild2,agechild3,agechild4,agechild5,urban,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,aw,sex,union,child,child20,child30,birth_5y
ALIR50FL.DTA,ALIR50FL.DTA_000000014001003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1975,21,21,22,25,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000014002003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1978,16,22,23,NA,NA,NA,NA,1,0,0,0,0,0,0,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000014004002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1976,16,16,17,20,21,NA,NA,1,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000014005003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,20,20,25,30,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000014008002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1973,19,20,20,26,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000014010002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1963,20,22,23,28,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000014012002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1960,23,23,24,28,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000014013003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1972,19,20,21,22,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000014017003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1971,20,21,23,26,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000014019002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,24,24,28,32,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000014020002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1966,20,20,21,28,28,NA,NA,1,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000015001002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1970,20,23,24,28,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000015004002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1960,21,21,29,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000015006001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1964,25,25,26,28,30,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000015009004,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1976,19,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000015010002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1960,19,19,27,29,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000015012002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1965,22,23,24,33,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000015014001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1968,19,20,20,22,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000015017001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1978,21,21,21,25,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000015019007,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1965,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1965
