filenw,ident,region,regiog,subre,contr,countryname,birth_y,age_sex,age_union,agechild1,agechild2,agechild3,agechild4,agechild5,urban,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,aw,sex,union,child,child20,child30,birth_5y
ALIR50FL.DTA,ALIR50FL.DTA_000000401018002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1965,16,15,19,24,NA,NA,NA,1,0,0,0,0,0,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000401019002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1974,20,20,21,24,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000402001005,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1969,19,21,22,25,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000402003001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1973,16,18,19,21,NA,NA,NA,1,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000402007003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,18,18,21,23,NA,NA,NA,1,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000402008002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1970,20,21,22,26,30,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000402011004,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1972,18,21,23,28,31,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000402012004,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1977,23,26,27,28,31,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000402014002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,17,19,20,27,29,NA,NA,1,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000402015002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1975,20,21,22,24,26,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000402016002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,20,19,20,23,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000402018002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,25,24,25,28,31,34,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000402019002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1963,28,28,28,37,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000402020002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1968,21,24,25,28,33,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000403001005,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1977,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000403003002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1964,25,26,27,31,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000403004001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1971,22,24,25,33,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000403005002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1964,18,18,19,22,30,NA,NA,1,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,1,1,1,0,1,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000403006003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1975,25,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000403007004,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1976,20,24,25,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000403009002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,20,21,22,27,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000403010002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1960,18,20,21,26,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000403011002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1974,18,25,29,31,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,3,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000403012002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1963,19,25,26,28,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000403017002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1970,19,21,21,23,24,29,NA,1,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000403019002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1972,20,29,29,33,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000403020002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1965,22,22,23,25,27,29,30,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000404003002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1962,25,27,28,33,36,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000404007005,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1975,20,23,24,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000404010001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1976,18,17,18,20,NA,NA,NA,1,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000404015002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1974,20,21,21,24,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000404016002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1960,19,27,28,37,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000404019002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1976,25,31,32,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000404020002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1959,18,21,22,23,25,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,0,0,1,1955
ALIR50FL.DTA,ALIR50FL.DTA_000000405001002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1961,21,27,28,31,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000405011003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1963,22,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,0,0,0,0,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000405016002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1965,18,25,27,35,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000405017002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1960,29,29,30,33,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000406001002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1968,22,21,30,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000406003002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1969,26,27,29,35,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000406014002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1976,20,22,23,30,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000406016002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,20,22,22,25,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000407002002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1964,20,20,21,27,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000407003002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,22,24,25,35,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000407008002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1965,20,21,24,27,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000407012002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1959,25,30,31,34,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,0,0,0,1955
ALIR50FL.DTA,ALIR50FL.DTA_000000407016003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1970,20,19,21,26,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000408004004,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1978,20,20,21,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000408006002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1963,20,20,21,22,31,NA,NA,1,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000408009002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,20,19,20,23,25,NA,NA,1,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000408011002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1966,25,28,29,35,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000408012002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1973,21,21,26,31,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000408013002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,17,17,19,21,26,NA,NA,1,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000408015002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1970,18,20,22,26,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000408016002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1965,26,26,27,29,35,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000408018002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1977,21,21,24,29,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000409002002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1976,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000409005004,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1976,24,25,26,31,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000409006003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1970,19,20,23,31,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000409009002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1972,20,22,23,27,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000409014002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1970,20,20,23,28,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000409019002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1965,25,23,24,28,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000409020002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1966,20,23,24,26,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000410002002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1972,21,23,24,26,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000410003004,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1974,20,21,23,26,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000410004003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1969,22,25,26,33,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000410005002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1964,20,20,20,30,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,1,1,0,1,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000410007003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,23,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000410008002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1974,20,20,21,23,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000410011002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1968,19,37,38,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000410014002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1969,23,28,29,33,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000410015003,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1961,19,27,27,35,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,1,1,1,0,0,1,1960
